,code,jnilvolume,price,priceVolume,volume
0,900340,1667434,2480,923470160,372367
1,900270,3936638,1240,794759400,640935
2,218410,400059,36050,717719450,19909
3,900310,546594,2050,330168900,161058
4,040910,308569,19000,319029000,16791
5,214310,1010480,667,206842703,310109
6,101670,842916,1680,150529680,89601
7,900300,501299,1610,110759950,68795
8,222980,182992,6750,102627000,15204
9,225570,95043,8790,79074840,8996
10,900290,126763,2585,71824225,27785
11,160980,78724,10200,57313800,5619
12,900280,2821791,415,55696735,134209
13,900260,992203,499,34323216,68784
14,096690,213557,1715,17763970,10358
15,094860,487169,1545,11190435,7243
16,031980,16083,7970,10528370,1321
17,109820,735007,2240,8366400,3735
18,241520,50974,3245,7476480,2304
19,173130,15319,5890,194370,33
