,code,jnilvolume,price,priceVolume,volume
0,052260,1344763,21600,897242400,41539
1,051380,331655,17000,335172000,19716
2,053270,594050,1820,184586220,101421
3,065620,3027967,3390,144905550,42745
4,182400,156208,12000,137520000,11460
5,307930,356758,8880,127348080,14341
6,222980,3751008,6980,117794480,16876
7,260930,1122227,14900,95225900,6391
8,226340,786669,3820,42218640,11052
9,045510,249700,1645,23954490,14562
10,096640,193702,1750,12474000,7128
11,182690,410268,3150,5418000,1720
12,009620,317744,738,3845718,5211
13,228340,35787,3380,2896660,857
14,051980,179109,690,2075520,3008
15,019660,238254,3255,1393140,428
16,208640,266537,577,952627,1651
17,178780,107254,2405,288600,120
18,076612,118620,510,510,1
19,052422,93145,83,249,3
