Date,Open,High,Low,Close,Volume
2013-06-05,1988.94,1989.29,1959.19,1959.19,340500000
2013-06-07,1953.83,1954.82,1923.84,1923.85,341120000
2013-06-10,1927.19,1934.92,1923.59,1932.7,271732000
2013-06-11,1933.1,1933.34,1910.05,1920.68,288159000
2013-06-12,1913.6,1921.54,1907.29,1909.91,253381000
2013-06-13,1905.1,1911.04,1881.24,1882.73,306431000
2013-06-14,1895.77,1896.6,1881.5,1889.24,279281000
2013-06-17,1889.45,1897.7,1878.4,1883.1,264448000
2013-06-18,1887.72,1900.63,1872.7,1900.62,278589000
2013-06-19,1899.5,1899.5,1883.41,1888.31,279751000
2013-06-20,1864.37,1873.18,1844.41,1850.49,355761000
2013-06-21,1806.4,1823.99,1806.02,1822.83,290458000
2013-06-24,1821.22,1821.22,1798.98,1799.01,220936000
2013-06-25,1790.33,1807.62,1770.53,1780.63,332240000
2013-06-26,1799.74,1799.74,1772.49,1783.45,296935000
2013-06-27,1809.55,1839.52,1809.4,1834.7,286261000
2013-06-28,1844.6,1864.09,1844.6,1863.32,251085000
2013-07-01,1851.57,1866.63,1850.03,1855.73,220875000
2013-07-02,1861.26,1867.18,1850.29,1855.02,483156000
2013-07-03,1854.29,1860.46,1823.1,1824.66,405796000
2013-07-04,1830.49,1840.38,1825.62,1839.14,313015000
2013-07-05,1848.97,1857.39,1828.75,1833.31,285635000
2013-07-08,1830.81,1840.57,1809.72,1816.85,303581000
2013-07-09,1828.63,1831.35,1815.03,1830.35,257900000
2013-07-10,1835.94,1836.91,1818.94,1824.16,267902000
2013-07-11,1840.34,1877.6,1840.34,1877.6,331465000
2013-07-12,1873.66,1873.66,1863.4,1869.98,265985000
2013-07-15,1870.26,1877.46,1847.82,1875.16,330028000
2013-07-16,1875.53,1875.68,1860.37,1866.36,303329000
2013-07-17,1871.29,1894.7,1856.55,1887.49,382916000
2013-07-18,1883.07,1885.01,1870.78,1875.48,380291000
2013-07-19,1880.44,1881.4,1861.43,1871.41,319619000
2013-07-22,1880.81,1894.41,1873.17,1880.35,356943000
2013-07-23,1890.55,1904.15,1885.57,1904.15,352401000
2013-07-24,1904.07,1914.41,1901.15,1912.08,322150000
2013-07-25,1906.57,1913.91,1904.44,1909.61,311996000
2013-07-26,1912.05,1915.97,1902.47,1910.81,320157000
2013-07-29,1908.66,1912.57,1899.02,1899.89,337585000
2013-07-30,1901.88,1917.11,1900.54,1917.05,366881000
2013-07-31,1915.47,1920.6,1910.82,1914.03,384141000
2013-08-01,1916.56,1925.32,1906.74,1920.74,336061000
2013-08-02,1936.26,1939.28,1920.98,1923.38,298151000
2013-08-05,1920.83,1925.6,1915.69,1916.22,233985000
2013-08-06,1914.06,1914.06,1895.87,1906.62,294648000
2013-08-07,1892.47,1895.5,1878.33,1878.33,312431000
2013-08-08,1884.58,1896.07,1879.13,1883.97,338167000
2013-08-09,1884.57,1888.79,1876.07,1880.71,283474000
2013-08-12,1878.5,1894.42,1878.33,1884.83,297512000
2013-08-13,1893.42,1913.03,1890.78,1913.03,362604000
2013-08-14,1912.59,1925.1,1908.92,1923.91,363325000
2013-08-16,1903.72,1927.59,1901.7,1920.11,348501000
2013-08-19,1917.32,1918.71,1909.8,1917.64,302122000
2013-08-20,1910.3,1923.42,1885.93,1887.85,350350000
2013-08-21,1891.01,1894.74,1863.6,1867.46,411235000
2013-08-22,1847.94,1858.5,1838.52,1849.12,425947000
2013-08-23,1861.58,1876.14,1854.67,1870.16,374962000
2013-08-26,1876.59,1890.38,1876.59,1887.86,316295000
2013-08-27,1883.71,1896.63,1881.44,1885.84,409263000
2013-08-28,1862.51,1885.35,1861.56,1884.52,378293000
2013-08-29,1892.03,1914.9,1891.59,1907.54,301695000
2013-08-30,1918.91,1926.37,1910.37,1926.36,300930000
2013-09-02,1925.32,1932.46,1921.01,1924.81,243988000
2013-09-03,1934.24,1940.99,1928.09,1933.74,300059000
2013-09-04,1929.6,1938.26,1921.93,1933.03,284190000
